state,date,type,median,mean
Alabama,8/25/20,estimate,-0.01,-0.013
Alabama,8/26/20,estimate,-0.013,-0.016
Alabama,8/27/20,estimate,-0.016,-0.019
Alabama,8/28/20,estimate,-0.019,-0.021
Alabama,8/29/20,estimate,-0.021,-0.022
Alabama,8/30/20,estimate,-0.022,-0.023
Alabama,8/31/20,estimate,-0.022,-0.024
Alabama,9/1/20,estimate,-0.022,-0.023
Alabama,9/2/20,estimate,-0.021,-0.022
Alabama,9/3/20,estimate,-0.02,-0.021
Alabama,9/4/20,estimate,-0.018,-0.019
Alabama,9/5/20,estimate,-0.016,-0.017
Alabama,9/6/20,estimate,-0.014,-0.014
Alabama,9/7/20,estimate,-0.012,-0.012
Alabama,9/8/20,estimate,-0.009,-0.009
Alabama,9/9/20,estimate,-0.007,-0.006
Alabama,9/10/20,estimate,-0.005,-0.004
Alabama,9/11/20,estimate,-0.003,-0.002
Alabama,9/12/20,estimate,-0.001,0
Alabama,9/13/20,estimate,0,0.002
Alabama,9/14/20,estimate,0.001,0.003
Alabama,9/15/20,estimate,0.002,0.004
Alabama,9/16/20,estimate,0.003,0.004
Alabama,9/17/20,estimate,0.003,0.004
Alabama,9/18/20,estimate,0.003,0.004
Alabama,9/19/20,estimate,0.003,0.003
Alabama,9/20/20,estimate,0.002,0.003
Alabama,9/21/20,estimate,0.002,0.002
Alabama,9/22/20,estimate,0.001,0.001
Alabama,9/23/20,estimate,0.001,0
Alabama,9/24/20,estimate,0.001,0
Alabama,9/25/20,estimate,0.001,0
Alabama,9/26/20,estimate,0.001,0
Alabama,9/27/20,estimate,0.002,0
Alabama,9/28/20,estimate,0.003,0.001
Alabama,9/29/20,estimate,0.004,0.002
Alabama,9/30/20,estimate,0.005,0.004
Alabama,10/1/20,estimate,0.007,0.006
Alabama,10/2/20,estimate,0.008,0.008
Alabama,10/3/20,estimate,0.01,0.01
Alabama,10/4/20,estimate,0.013,0.013
Alabama,10/5/20,estimate,0.015,0.016
Alabama,10/6/20,estimate,0.018,0.019
Alabama,10/7/20,estimate,0.02,0.021
Alabama,10/8/20,estimate,0.023,0.024
Alabama,10/9/20,estimate,0.025,0.026
Alabama,10/10/20,estimate,0.026,0.028
Alabama,10/11/20,estimate,0.027,0.029
